"Itineraries\Items\Start time","Itineraries\Items\Name","Name","Itineraries\Items\Program\Locations\Name","QUERYRECID"
"9:15 AM","School SCI Exploration","Clarke Elementary - Pankey","Full Facility","d203227a-5fb0-4ca9-8b7e-f3f31daad3dc"
"9:30 AM","School SCI Exploration","Sacred Heart School - WDM - Eddie","Full Facility","ef57741c-84f7-4fef-85e6-0e404c141530"
"9:30 AM","School SCI Exploration","St. Luke the Evangelist Catholic School - Mcinville","Full Facility","fab43897-7ff4-40f4-8259-55ff939b498e"
"9:30 AM","School SCI Exploration","Perry Elementary School - Gay","Full Facility","5bb15d45-5089-4c29-82c4-761e3351d4c9"
"9:30 AM","School SCI Exploration","South Hamilton Elementary School - Larsen","Full Facility","5e73de56-3335-461d-9e6c-b214a1bca310"
"9:45 AM","School SCI Exploration","West Elementary School - McDonald","Full Facility","41a0304f-2979-44e9-8d6b-25532ea04e37"
"10:00 AM","School Lunch","West Elementary School - McDonald","Innovation Hallway","41a0304f-2979-44e9-8d6b-25532ea04e37"
"10:30 AM","Meet Stuffee Program","Clarke Elementary - Pankey","Star Theater Planetarium","d203227a-5fb0-4ca9-8b7e-f3f31daad3dc"
"10:30 AM","School Lunch","West Elementary School - McDonald","Innovation Hallway","41a0304f-2979-44e9-8d6b-25532ea04e37"
"11:00 AM","School Lunch","Perry Elementary School - Gay","Innovation Hallway","5bb15d45-5089-4c29-82c4-761e3351d4c9"
"11:30 AM","School Lunch","Perry Elementary School - Gay","Innovation Hallway","5bb15d45-5089-4c29-82c4-761e3351d4c9"
"11:30 AM","School SCI Exploration","Irving Elementary School - Robinson","Full Facility","8b07022f-a0d6-46ce-850b-938693ed4b64"
"12:00 PM","Fireworks!","South Hamilton Elementary School - Larsen","","5e73de56-3335-461d-9e6c-b214a1bca310"
"12:00 PM","School Lunch","St. Luke the Evangelist Catholic School - Mcinville","Innovation Hallway","fab43897-7ff4-40f4-8259-55ff939b498e"
"12:00 PM","Zula Patrol: Under the Weather","West Elementary School - McDonald","Star Theater Planetarium","41a0304f-2979-44e9-8d6b-25532ea04e37"
"12:30 PM","School Lunch","Sacred Heart School - WDM - Eddie","Innovation Hallway","ef57741c-84f7-4fef-85e6-0e404c141530"
"1:00 PM","Iowa Skies Tonight","Sacred Heart School - WDM - Eddie","Star Theater Planetarium","ef57741c-84f7-4fef-85e6-0e404c141530"
"1:00 PM","School Lunch","Irving Elementary School - Robinson","Innovation Hallway","8b07022f-a0d6-46ce-850b-938693ed4b64"
"1:30 PM","Iowa Skies Tonight","Irving Elementary School - Robinson","Star Theater Planetarium","8b07022f-a0d6-46ce-850b-938693ed4b64"
"4:00 PM","SCI Volunteer Appreciation Extravaganza","SCI Volunteer Appreciation Extravaganza","","e332184a-4792-478e-aa39-6e6fdcfe824f"
